title	geo_accession	days_old	behavior
tg10	GSM308821	8	A
tg100	GSM308822	4	A
tg109	GSM308823	8	A
tg101	GSM308824	14	A
tg102	GSM308825	24	C
tg103	GSM308826	16	B
tg104	GSM308827	8	A
tg105	GSM308828	24	B
tg106	GSM308829	24	C
tg108	GSM308830	16	B
tg11	GSM308831	14	B
tg110	GSM308832	4	A
tg111	GSM308833	4	A
tg112	GSM308834	8	A
tg113	GSM308835	16	B
tg114	GSM308836	24	C
tg115	GSM308837	12	B
tg116	GSM308838	20	C
tg117	GSM308839	14	B
tg118	GSM308840	8	A
tg119	GSM308841	4	A
tg120	GSM308842	16	B
tg121	GSM308843	20	B
tg122	GSM308844	12	A
tg123	GSM308845	4	A
tg124	GSM308846	20	A
tg125	GSM308847	8	A
tg126	GSM308848	14	C
tg127	GSM308849	8	A
tg128	GSM308850	16	B
tg129	GSM308851	20	C
tg130	GSM308852	24	B
tg131	GSM308853	14	B
tg132	GSM308854	12	A
tg133	GSM308855	12	B
tg134	GSM308856	4	A
tg135	GSM308857	8	A
tg136	GSM308858	16	B
tg137	GSM308859	16	A
tg138	GSM308860	4	A
tg139	GSM308861	12	A
tg14	GSM308862	20	B
tg20	GSM308863	20	B
tg23	GSM308864	8	A
tg24	GSM308865	14	B
tg26	GSM308866	16	B
tg28	GSM308867	12	B
tg29	GSM308868	12	A
tg30	GSM308869	16	B
tg31	GSM308870	20	C
tg32	GSM308871	12	A
tg33	GSM308872	24	C
tg34	GSM308873	4	A
tg35	GSM308874	20	C
tg36	GSM308875	12	C
tg37	GSM308876	8	A
tg38	GSM308877	24	B
tg39	GSM308878	8	A
tg40	GSM308879	14	B
tg41	GSM308880	16	B
tg42	GSM308881	20	B
tg43	GSM308882	14	C
tg44	GSM308883	20	C
tg45	GSM308884	12	A
tg46	GSM308885	16	B
tg47	GSM308886	8	A
tg48	GSM308887	14	C
tg49	GSM308888	16	A
tg50	GSM308889	14	A
tg51	GSM308890	8	A
tg52	GSM308891	4	A
tg53	GSM308892	20	C
tg54	GSM308893	14	B
tg56	GSM308894	14	B
tg57	GSM308895	8	A
tg58	GSM308896	20	B
tg59	GSM308897	24	C
tg6	GSM308898	12	C
tg60	GSM308899	16	A
tg61	GSM308900	8	A
tg62	GSM308901	4	A
tg64	GSM308902	24	B
tg67	GSM308903	14	B
tg75	GSM308904	16	B
tg76	GSM308905	12	A
tg77	GSM308906	12	B
tg79	GSM308907	16	B
tg8	GSM308908	16	A
tg82	GSM308909	14	A
tg83	GSM308910	8	A
tg85	GSM308911	12	B
tg86	GSM308912	14	A
tg87	GSM308913	4	A
tg88	GSM308914	16	C
tg89	GSM308915	8	A
tg90	GSM308916	12	B
tg91	GSM308917	4	A
tg92	GSM308918	20	C
tg93	GSM308919	14	A
tg94	GSM308920	14	A
tg95	GSM308921	4	A
tg96	GSM308922	12	B
tg97	GSM308923	20	B
tg98	GSM308924	12	B
